,Name,Global_Sales,Score_pro,Score_user,N_pro,N_user,genre_Action-Adventure,genre_Adventure,genre_Fighting,genre_MMO,genre_Misc,genre_Music,genre_Party,genre_Platform,genre_Puzzle,genre_Racing,genre_Role-Playing,genre_Shooter,genre_Simulation,genre_Sports,genre_Strategy,genre_Visual+Novel,PC,nintendo,playstation,xbox
138,Resident Evil 6,1.97,6.7,5.2,71,1521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Resident Evil 6,0.04,6.9,6.1,18,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,Resident Evil 6,0.17,6.0,6.6,19,527,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
141,Resident Evil 6,0.07,6.3,7.2,12,135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
142,Saints Row 2,3.07,8.1,8.2,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,Saints Row 2,1.68,8.2,8.1,50,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,Saints Row 2,0.04,7.2,6.9,24,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,Metal Gear Solid V: The Phantom Pain,0.83,9.5,7.5,10,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,Metal Gear Solid V: The Phantom Pain,0.09,9.1,7.8,13,2729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
147,Tom Clancy's Splinter Cell,3.02,9.3,8.6,46,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,Tom Clancy's Splinter Cell,3.02,9.3,8.6,46,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,Tom Clancy's Splinter Cell,3.02,9.3,8.6,46,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,Tom Clancy's Splinter Cell,2.65,8.9,7.9,24,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
151,Tom Clancy's Splinter Cell,2.65,8.9,7.9,24,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,Tom Clancy's Splinter Cell,2.65,8.9,7.9,24,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
153,Tom Clancy's Splinter Cell,0.23,8.9,8.2,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,Tom Clancy's Splinter Cell,0.23,8.9,8.2,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
155,Tom Clancy's Splinter Cell,0.23,8.9,8.2,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
156,Tom Clancy's Splinter Cell,0.1,7.7,8.7,21,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
157,Tom Clancy's Splinter Cell,0.1,7.7,8.7,21,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
158,Tom Clancy's Splinter Cell,0.1,7.7,8.7,21,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
159,Tom Clancy's Splinter Cell,0.01,9.1,8.4,20,449,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
160,Tom Clancy's Splinter Cell,0.01,9.1,8.4,20,449,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
161,Tom Clancy's Splinter Cell,0.01,9.1,8.4,20,449,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
162,inFAMOUS,2.99,8.5,8.3,98,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,Devil May Cry,2.99,9.4,8.6,37,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,Hitman 2: Silent Assassin,2.96,8.5,8.0,19,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,Hitman 2: Silent Assassin,1.19,8.4,7.1,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,Hitman 2: Silent Assassin,0.13,8.3,6.9,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
167,Hitman 2: Silent Assassin,0.0,8.7,8.2,20,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
168,Skylanders: Spyro's Adventure,2.79,8.1,6.0,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
169,Skylanders: Spyro's Adventure,0.97,7.8,5.3,35,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,Skylanders: Spyro's Adventure,0.94,7.7,5.2,18,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
171,Skylanders: Spyro's Adventure,0.58,8.2,5.1,8,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,Star Wars: The Force Unleashed,2.77,7.3,6.8,74,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
173,Star Wars: The Force Unleashed,2.22,7.1,6.8,47,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,Star Wars: The Force Unleashed,1.86,7.1,8.0,18,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175,Star Wars: The Force Unleashed,1.25,6.8,7.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,Star Wars: The Force Unleashed,1.09,7.0,7.9,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,Star Wars: The Force Unleashed,0.88,6.1,5.5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,Saints Row: The Third,2.77,8.4,7.7,70,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,Saints Row: The Third,2.48,8.2,7.8,50,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,Saints Row: The Third,0.38,8.4,8.1,22,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
181,Onimusha: Warlords,2.7,8.6,8.2,23,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
182,Onimusha: Warlords,2.7,8.6,8.2,23,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
