Name,Platform,Genre,Global_Sales,game_key,Name_meta,Genre_meta,Score_pro,Score_user,Publisher,Developer,N_pro,N_user,day,year,month,release_date,quarter,Franchise_wikipedia,compound,multiplayer,singleplayer
Batman: Arkham Asylum,PS3,Action,4.28,batman-arkham-asylum,Batman: Arkham Asylum,"Action Adventure, Fantasy, General, Fantasy",9.1,8.8,eidos interactive,Rocksteady Studios,70,1677,25,2009,8,2009-08-25,3.0,Batman,0.5754114285714287,0.0,1.0
Batman: Arkham Asylum,X360,Action,3.54,batman-arkham-asylum,Batman: Arkham Asylum,"Action Adventure, Fantasy, General, Fantasy",9.2,8.7,eidos interactive,Rocksteady Studios,78,1347,25,2009,8,2009-08-25,3.0,Batman,0.5554423076923075,0.0,1.0
Batman: Arkham Asylum,PC,Action,0.32,batman-arkham-asylum,Batman: Arkham Asylum,"Action Adventure, Fantasy, General, Fantasy",9.1,8.6,eidos interactive,Rocksteady Studios,29,2708,15,2009,9,2009-09-15,3.0,Batman,0.4199344827586206,0.0,1.0
Assassin's Creed: Revelations,PS3,Action,4.23,assassin-s-creed-revelations,Assassin's Creed: Revelations,"Action Adventure, Historic, Historic, Open-World",8.0,7.6,ubisoft,Ubisoft Montreal,39,827,15,2011,11,2011-11-15,4.0,Assassin's Creed,0.15206923076923073,1.0,1.0
Assassin's Creed: Revelations,X360,Action,4.22,assassin-s-creed-revelations,Assassin's Creed: Revelations,"Action Adventure, Historic, Historic, Open-World",8.0,7.3,ubisoft,Ubisoft Montreal,77,715,15,2011,11,2011-11-15,4.0,Assassin's Creed,0.5019,1.0,1.0
Assassin's Creed: Revelations,PC,Action,0.76,assassin-s-creed-revelations,Assassin's Creed: Revelations,"Action Adventure, Historic, Historic, Open-World",8.0,7.6,ubisoft,Ubisoft Montreal,20,1320,29,2011,11,2011-11-29,4.0,Assassin's Creed,0.607845,1.0,1.0
Metal Gear Solid 3: Snake Eater,PS2,Action,4.23,metal-gear-solid-3-snake-eater,Metal Gear Solid 3: Snake Eater,"Action Adventure, Modern",9.1,9.2,konami,KCEJ,68,1686,17,2004,11,2004-11-17,4.0,Metal Gear,0.38190882352941175,0.0,1.0
Assassin's Creed: Unity,PS4,Action,4.14,assassin-s-creed-unity,Assassin's Creed Unity,"Action Adventure, Historic, Open-World",7.0,5.7,ubisoft,Ubisoft,40,3035,11,2014,11,2014-11-11,4.0,Assassin's Creed,0.17337999999999992,1.0,1.0
Assassin's Creed: Unity,XOne,Action,3.58,assassin-s-creed-unity,Assassin's Creed Unity,"Action Adventure, Historic, Open-World",7.2,5.0,ubisoft,Ubisoft,59,1291,11,2014,11,2014-11-11,4.0,Assassin's Creed,0.4093711864406779,1.0,1.0
Assassin's Creed: Unity,PC,Action,0.56,assassin-s-creed-unity,Assassin's Creed Unity,"Action Adventure, Historic, Open-World",7.0,5.6,ubisoft,Ubisoft,10,2901,11,2014,11,2014-11-11,4.0,Assassin's Creed,0.65652,1.0,1.0
God of War II,PS2,Action,4.07,god-of-war-ii,God of War II,"Action Adventure, Fantasy",9.3,9.0,scea,SCE Santa Monica,70,1512,13,2007,3,2007-03-13,1.0,God of War,0.46411714285714284,1.0,1.0
Assassin's Creed Origins,PS4,Action,4.06,assassin-s-creed-origins,Assassin's Creed Origins,"Action Adventure, Open-World",8.1,7.2,ubisoft,Ubisoft,70,686,27,2017,10,2017-10-27,4.0,Assassin's Creed,0.6128595238095235,0.0,1.0
Assassin's Creed Origins,XOne,Action,2.47,assassin-s-creed-origins,Assassin's Creed Origins,"Action Adventure, Open-World",8.5,7.7,ubisoft,Ubisoft,42,178,27,2017,10,2017-10-27,4.0,Assassin's Creed,0.606020238095238,0.0,1.0
Assassin's Creed Origins,PC,Action,0.1,assassin-s-creed-origins,Assassin's Creed Origins,"Action Adventure, Open-World",8.4,6.9,ubisoft,Ubisoft,31,428,27,2017,10,2017-10-27,4.0,Assassin's Creed,0.4398275862068964,0.0,1.0
Far Cry 5,PS4,Action,3.95,far-cry-5,Far Cry 5,"Action, Shooter, First-Person, Arcade",8.1,6.8,ubisoft,Ubisoft Montreal,90,518,27,2018,3,2018-03-27,1.0,Far Cry,0.6007759036144581,0.0,1.0
Far Cry 5,XOne,Action,1.78,far-cry-5,Far Cry 5,"Action, Shooter, First-Person, Arcade",8.2,6.9,ubisoft,Ubisoft Montreal,33,141,27,2018,3,2018-03-27,1.0,Far Cry,0.5005837500000003,0.0,1.0
Far Cry 5,PC,Action,0.07,far-cry-5,Far Cry 5,"Action, Shooter, First-Person, Arcade",7.8,6.3,ubisoft,Ubisoft Montreal,33,488,27,2018,3,2018-03-27,1.0,Far Cry,0.5670935483870968,0.0,1.0
Harry Potter and the Sorcerer's Stone,PS,Action,3.73,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.5,electronic arts,Argonaut Games,11,92,15,2001,11,2001-11-15,4.0,Harry Potter,0.09562727272727271,0.0,1.0
Harry Potter and the Sorcerer's Stone,PS,Action,3.73,harry-potter-and-the-sorcerer-s-stone,Harry Potter and the Sorcerer's Stone,"Action Adventure, Fantasy",6.4,7.5,electronic arts,Argonaut Games,11,92,15,2001,11,2001-11-15,4.0,Harry Potter,0.09562727272727271,0.0,1.0
