,Name,multiplayer,singleplayer,awarded
947,Just Cause 3,0,1,1.0
948,Secret of Mana,1,1,0.0
949,The Orange Box,1,1,1.0
950,Air Combat,1,1,0.0
951,Kirby: Triple Deluxe,1,1,0.0
952,Sonic & Knuckles,1,1,0.0
954,The Sims: Hot Date,0,1,0.0
955,Metroid Prime 3: Corruption,0,1,0.0
956,Dragon Quest VI: Realms of Revelation,0,1,0.0
957,The Evil Within,0,1,0.0
961,Sly 2: Band of Thieves,0,1,0.0
963,Sonic Advance 2,1,1,0.0
966,NFL GameDay 2000,1,1,0.0
969,Beyond: Two Souls,1,1,1.0
971,Midnight Club II,1,1,0.0
972,Dragon Quest Monsters: Joker,1,1,0.0
973,SpongeBob SquarePants: SuperSponge,0,1,0.0
974,The Getaway: Black Monday,0,1,0.0
975,Professor Layton and the Mask of Miracle,0,1,0.0
976,Just Cause 2,1,1,0.0
977,Dragon's Dogma,1,1,0.0
979,50 Cent: Bulletproof,1,1,0.0
