Name,Main story duration,Duration hrs
Saints Row: The Third - Initiation Station DLC,1 Hours,1.0
Saints Row: The Third - Gangstas in Space DLC,58 Mins,0.9666666666666667
Saints Row: The Third - Genkibowl VII DLC,1 Hours,1.0
Saints Row: The Third - The Trouble with Clones DLC,56 Mins,0.9333333333333333
Onimusha: Warlords,4.5 Hours,4.5
LEGO Star Wars II: The Original Trilogy,11 Hours,11.0
Hannah Montana,--,
Hannah Montana: Spotlight World Tour,2.5 Hours,2.5
Hannah Montana: The Movie,3 Hours,3.0
Disney Hannah Montana: Music Jam,--,
Hannah Montana: Rock Out The Show,--,
Star Wars: Shadows of the Empire,5 Hours,5.0
Streets of Rage,1.5 Hours,1.5
Streets of Rage 4,3 Hours,3.0
Streets of Rage 2,1.5 Hours,1.5
Streets of Rage 3,2 Hours,2.0
Streets of Rage Remake,3 Hours,3.0
Streets of Rage 4 - Mr. X Nightmare,2 Hours,2.0
Dying Light,17 Hours,17.0
Dying Light 2: Stay Human,21.5 Hours,21.5
Dying Light: The Following - Enhanced Edition,20 Hours,20.0
Dying Light: Platinum Edition,26 Hours,26.0
Dying Light: The Following DLC,9 Hours,9.0
New Super Luigi U,4.5 Hours,4.5
Dino Crisis,6.5 Hours,6.5
Dino Crisis 2,5.5 Hours,5.5
Dino Stalker,1.5 Hours,1.5
Dino Crisis 3,7 Hours,7.0
Dead Island,18.5 Hours,18.5
Dead Island: Definitive Edition,18 Hours,18.0
Dead Island: Riptide,12 Hours,12.0
Dead Island: Riptide - Definitive Edition,10.5 Hours,10.5
Dead Island: Retro Revenge,4 Hours,4.0
Escape Dead Island,6 Hours,6.0
Dead Island: Ryder White DLC,2.5 Hours,2.5
Dead Island: Bloodbath Arena DLC,2 Hours,2.0
Dead Island 2,--,
Escape Dead Island: Underwater Labs DLC,1 Hours,1.0
The Incredibles,5 Hours,5.0
LEGO The Incredibles,7 Hours,7.0
The Incredibles: Rise of the Underminer,2.5 Hours,2.5
Uncharted: The Lost Legacy,7 Hours,7.0
LEGO Marvel Super Heroes,12 Hours,12.0
LEGO Marvel Super Heroes 2,12.5 Hours,12.5
LEGO Marvel Super Heroes: Universe in Peril,11.5 Hours,11.5
Grand Theft Auto,6.5 Hours,6.5
Grand Theft Auto: Chinatown Wars,9.5 Hours,9.5
Grand Theft Auto: Episodes From Liberty City,18.5 Hours,18.5
"Grand Theft Auto: London, 1969",4.5 Hours,4.5
"Grand Theft Auto: London, 1961",2 Hours,2.0
Teenage Mutant Ninja Turtles II: The Arcade Game,1 Hours,1.0
Saints Row,17 Hours,17.0
Saints Row IV,15.5 Hours,15.5
Saints Row: Gat out of Hell,4.5 Hours,4.5
Saints Row IV: Re-Elected,15 Hours,15.0
Saints Row IV - Enter the Dominatrix DLC,1 Hours,1.0
Saints Row IV - How the Saints Save Christmas DLC,1 Hours,1.0
