Name,Franchise,Rating igdb,Rating count igdb,Follows igdb,Name normalizes
Uncharted: Golden Abyss,Uncharted,72.020176106136,89.0,33.0,UNCHARTED: GOLDEN ABYSS
Devil May Cry 4,,80.0527515122203,309.0,98.0,DEVIL MAY CRY 4
Lego Pirates of the Caribbean,Disney,76.3713715554007,65.0,27.0,LEGO PIRATES OF THE CARIBBEAN: THE VIDEO GAME
Hannah Montana: Music Jam,,,,,HANNAH MONTANA: MUSIC JAM
Twisted Metal,Twisted Metal,73.6704087464758,43.0,20.0,TWISTED METAL
Final Fight,Final Fight,80.4206991218837,109.0,28.0,FINAL FIGHT
Mafia II,,81.36052501322631,773.0,280.0,MAFIA II
Spider-Man 2: Enter Electro,Marvel,73.4721923896369,56.0,20.0,SPIDER-MAN 2: ENTER: ELECTRO
Pac-Man World 2,PAC-MAN,79.9428009437082,14.0,5.0,PAC-MAN WORLD 2
Star Wars: The Force Unleashed II,Star Wars,63.3023045392042,205.0,46.0,STAR WARS: THE FORCE UNLEASHED II
Dragon Ball: Xenoverse 2,Dragon Ball,73.093696973264,67.0,49.0,DRAGON BALL: XENOVERSE 2
Metal Gear Rising: Revengeance,Metal Gear,78.8344074581776,347.0,134.0,METAL GEAR RISING: REVENGEANCE
Pac-Man World,PAC-MAN,,,,PAC-MAN WORLD
Dead Rising 2,,73.5042519893118,158.0,61.0,DEAD RISING 2
Tom Clancy's Splinter Cell: Pandora Tomorrow,Tom Clancy,82.9611457537477,151.0,60.0,TOM CLANCY'S SPLINTER CELL: PANDORA TOMORROW
Ryse: Son of Rome,,71.4512335175388,203.0,69.0,RYSE: SON OF ROME
The Spongebob Squarepants Movie,Spongebob Squarepants,68.33242318661421,35.0,4.0,THE SPONGEBOB SQUAREPANTS MOVIE
Onimusha 3: Demon Siege,,83.76022008131059,52.0,18.0,ONIMUSHA 3: DEMON SIEGE
Resident Evil Outbreak,Resident Evil,52.3322556445121,32.0,11.0,RESIDENT EVIL OUTBREAK
Frogger 2: Swampy's Revenge,,,,,FROGGER 2: SWAMPY'S REVENGE
Yu-Gi-Oh! The Duelists of the Roses,Yu-Gi-Oh!,77.1686083769533,16.0,3.0,YU-GI-OH! THE DUELISTS OF THE ROSES
The Lion King,Disney,75.8837630455775,161.0,33.0,THE LION KING
Teenage Mutant Ninja Turtles III: The Manhattan Project,Teenage Mutant Ninja Turtles,75.7393781947584,38.0,9.0,TEENAGE MUTANT NINJA TURTLES III: THE MANHATTAN PROJECT
Dynasty Warriors 6,,76.7388578488516,17.0,8.0,DYNASTY WARRIORS 5
Hannah Montana: Spotlight World Tour,,,,4.0,HANNAH MONTANA: SPOTLIGHT WORLD TOUR
Bakugan Battle Brawlers,Bakugan,59.8065277384284,13.0,4.0,BAKUGAN: BATTLE BRAWLERS
Metroid: Other M,Metroid,70.5142132663574,60.0,23.0,METROID: OTHER M
Samurai Warriors,,79.3977168683583,5.0,1.0,SAMURAI WARRIORS
Alan Wake,,81.8785412876733,632.0,267.0,ALAN WAKE
Kirby: Planet Robobot,Kirby,87.70895958777629,24.0,10.0,KIRBY: PLANET ROBOBOT
Fighting Force,,71.730588904226,54.0,15.0,FIGHTING FORCE
Prototype 2,,70.0465059457186,147.0,53.0,[PROTOTYPE]
Assassin's Creed: Rogue,Assassin's Creed,72.65040173231961,327.0,147.0,ASSASSIN'S CREED: ROGUE
Resident Evil Zero,Resident Evil,76.2696885791774,62.0,18.0,RESIDENT EVIL ZERO
Kid Icarus: Uprising,Kid Icarus,80.6403247448927,60.0,15.0,KID ICARUS: UPRISING
Army Men 3D,,66.0693464247578,7.0,1.0,ARMY MEN 3D
Manhunt,,77.8863138709082,128.0,46.0,MANHUNT
Silent Hill 2,Silent Hill,92.04296012748051,703.0,281.0,SILENT HILL 2
Jet Li: Rise to Honor,,54.0478710160665,5.0,,JET LI: RISE TO HONOR
